Robot	TIME_START	TIME_END	AP_NAME	ACTION_ERROR(waiting, aborted)	DOCK_TRY(Position incorrect)	DOCK_CORRECT(Position correct)	UNDOCK_INCORRECT(Departing failed)
robotone	2023-10-03 10:50:03	2023-10-03 11:00:17	GTW01	0	0	1	0
robotone	2023-10-03 11:00:17	2023-10-03 11:20:52	C0309	0	0	1	0
robotone	2023-10-03 11:20:52	2023-10-03 11:26:04	IPS06	0	0	0	0
robotone	2023-10-03 11:26:04	2023-10-03 11:37:37	GTW01	0	0	1	0
robotone	2023-10-03 11:37:37	2023-10-03 11:43:02	C0209	0	0	1	0
robotone	2023-10-03 11:43:02	2023-10-03 12:00:04	GTW01	0	0	1	0
robotone	2023-10-03 12:00:04	2023-10-03 12:04:44	C0102	0	0	1	0
robottwo	2023-10-03 10:50:03	2023-10-03 11:00:17	GTW01	0	0	1	0
robottwo	2023-10-03 11:00:17	2023-10-03 11:20:52	C0309	0	0	1	0
robottwo	2023-10-03 11:20:52	2023-10-03 11:26:04	IPS06	0	0	0	0
robottwo	2023-10-03 11:26:04	2023-10-03 11:37:37	GTW01	0	0	1	0
robottwo	2023-10-03 11:37:37	2023-10-03 11:43:02	C0209	0	0	1	0
robottwo	2023-10-03 11:43:02	2023-10-03 12:00:04	GTW01	0	0	1	0
robottwo	2023-10-03 12:00:04	2023-10-03 12:04:44	C0102	0	0	1	0
robotthree	2023-10-03 10:50:03	2023-10-03 11:00:17	GTW01	0	0	1	0
robotthree	2023-10-03 11:00:17	2023-10-03 11:20:52	C0309	0	0	1	0
robotthree	2023-10-03 11:20:52	2023-10-03 11:26:04	IPS06	0	0	0	0
robotthree	2023-10-03 11:26:04	2023-10-03 11:37:37	GTW01	0	0	1	0
robotthree	2023-10-03 11:37:37	2023-10-03 11:43:02	C0209	0	0	1	0
robotthree	2023-10-03 11:43:02	2023-10-03 12:00:04	GTW01	0	0	1	0
robotthree	2023-10-03 12:00:04	2023-10-03 12:04:44	C0102	0	0	1	0
